pathway	circuit	circuit_name	gene	symbol	eff_node	eff_gene
hsa03320	P-hsa03320-55	PPAR signaling pathway: SCD	6258	RXRG	NA	NA
hsa03320	P-hsa03320-55	PPAR signaling pathway: SCD	5468	PPARG	NA	NA
hsa03320	P-hsa03320-55	PPAR signaling pathway: SCD	6319	SCD	SCD	SCD
hsa03320	P-hsa03320-55	PPAR signaling pathway: SCD	79966	SCD5	SCD5	NA
hsa03320	P-hsa03320-56	PPAR signaling pathway: FADS2	5465	PPARA	NA	NA
hsa03320	P-hsa03320-56	PPAR signaling pathway: FADS2	6256	RXRA	NA	NA
hsa03320	P-hsa03320-56	PPAR signaling pathway: FADS2	6257	RXRB	NA	NA
hsa03320	P-hsa03320-56	PPAR signaling pathway: FADS2	6258	RXRG	NA	NA
hsa03320	P-hsa03320-56	PPAR signaling pathway: FADS2	9415	FADS2	FADS2	FADS2
hsa03320	P-hsa03320-33	PPAR signaling pathway: CYP7A1	5465	PPARA	NA	NA
hsa03320	P-hsa03320-33	PPAR signaling pathway: CYP7A1	6256	RXRA	NA	NA
hsa03320	P-hsa03320-33	PPAR signaling pathway: CYP7A1	6257	RXRB	NA	NA
hsa03320	P-hsa03320-33	PPAR signaling pathway: CYP7A1	6258	RXRG	NA	NA
hsa03320	P-hsa03320-33	PPAR signaling pathway: CYP7A1	1581	CYP7A1	CYP7A1	CYP7A1
hsa03320	P-hsa03320-58	PPAR signaling pathway: CYP8B1	5465	PPARA	NA	NA
hsa03320	P-hsa03320-58	PPAR signaling pathway: CYP8B1	6256	RXRA	NA	NA
hsa03320	P-hsa03320-58	PPAR signaling pathway: CYP8B1	6257	RXRB	NA	NA
hsa03320	P-hsa03320-58	PPAR signaling pathway: CYP8B1	6258	RXRG	NA	NA
hsa03320	P-hsa03320-58	PPAR signaling pathway: CYP8B1	1582	CYP8B1	CYP8B1	CYP8B1
hsa03320	P-hsa03320-59	PPAR signaling pathway: NR1H3	5465	PPARA	NA	NA
hsa03320	P-hsa03320-59	PPAR signaling pathway: NR1H3	6256	RXRA	NA	NA
hsa03320	P-hsa03320-59	PPAR signaling pathway: NR1H3	6257	RXRB	NA	NA
hsa03320	P-hsa03320-59	PPAR signaling pathway: NR1H3	6258	RXRG	NA	NA
hsa03320	P-hsa03320-59	PPAR signaling pathway: NR1H3	5468	PPARG	NA	NA
hsa03320	P-hsa03320-59	PPAR signaling pathway: NR1H3	10062	NR1H3	NR1H3	NR1H3
hsa03320	P-hsa03320-63	PPAR signaling pathway: DBI	5465	PPARA	NA	NA
hsa03320	P-hsa03320-63	PPAR signaling pathway: DBI	6256	RXRA	NA	NA
hsa03320	P-hsa03320-63	PPAR signaling pathway: DBI	6257	RXRB	NA	NA
hsa03320	P-hsa03320-63	PPAR signaling pathway: DBI	6258	RXRG	NA	NA
hsa03320	P-hsa03320-63	PPAR signaling pathway: DBI	1622	DBI	DBI	DBI
hsa03320	P-hsa03320-44	PPAR signaling pathway: FABP1	5465	PPARA	NA	NA
hsa03320	P-hsa03320-44	PPAR signaling pathway: FABP1	6256	RXRA	NA	NA
hsa03320	P-hsa03320-44	PPAR signaling pathway: FABP1	6257	RXRB	NA	NA
hsa03320	P-hsa03320-44	PPAR signaling pathway: FABP1	6258	RXRG	NA	NA
hsa03320	P-hsa03320-44	PPAR signaling pathway: FABP1	2168	FABP1	FABP1	FABP1
hsa03320	P-hsa03320-36	PPAR signaling pathway: SLC27A4	5465	PPARA	NA	NA
hsa03320	P-hsa03320-36	PPAR signaling pathway: SLC27A4	6256	RXRA	NA	NA
hsa03320	P-hsa03320-36	PPAR signaling pathway: SLC27A4	6257	RXRB	NA	NA
hsa03320	P-hsa03320-36	PPAR signaling pathway: SLC27A4	6258	RXRG	NA	NA
hsa03320	P-hsa03320-36	PPAR signaling pathway: SLC27A4	5468	PPARG	NA	NA
hsa03320	P-hsa03320-36	PPAR signaling pathway: SLC27A4	10999	SLC27A4	SLC27A4	SLC27A4
hsa03320	P-hsa03320-36	PPAR signaling pathway: SLC27A4	376497	SLC27A1	SLC27A1	NA
hsa03320	P-hsa03320-30	PPAR signaling pathway: LPL	5465	PPARA	NA	NA
hsa03320	P-hsa03320-30	PPAR signaling pathway: LPL	6256	RXRA	NA	NA
hsa03320	P-hsa03320-30	PPAR signaling pathway: LPL	6257	RXRB	NA	NA
hsa03320	P-hsa03320-30	PPAR signaling pathway: LPL	6258	RXRG	NA	NA
hsa03320	P-hsa03320-30	PPAR signaling pathway: LPL	5467	PPARD	NA	NA
hsa03320	P-hsa03320-30	PPAR signaling pathway: LPL	5468	PPARG	NA	NA
hsa03320	P-hsa03320-30	PPAR signaling pathway: LPL	4023	LPL	LPL	LPL
hsa03320	P-hsa03320-28	PPAR signaling pathway: ACSL1	5465	PPARA	NA	NA
hsa03320	P-hsa03320-28	PPAR signaling pathway: ACSL1	6256	RXRA	NA	NA
hsa03320	P-hsa03320-28	PPAR signaling pathway: ACSL1	6257	RXRB	NA	NA
hsa03320	P-hsa03320-28	PPAR signaling pathway: ACSL1	6258	RXRG	NA	NA
hsa03320	P-hsa03320-28	PPAR signaling pathway: ACSL1	5468	PPARG	NA	NA
hsa03320	P-hsa03320-28	PPAR signaling pathway: ACSL1	2180	ACSL1	ACSL1	ACSL1
hsa03320	P-hsa03320-28	PPAR signaling pathway: ACSL1	2181	ACSL3	ACSL3	NA
hsa03320	P-hsa03320-28	PPAR signaling pathway: ACSL1	2182	ACSL4	ACSL4	NA
hsa03320	P-hsa03320-28	PPAR signaling pathway: ACSL1	23205	ACSBG1	ACSBG1	NA
hsa03320	P-hsa03320-28	PPAR signaling pathway: ACSL1	23305	ACSL6	ACSL6	NA
hsa03320	P-hsa03320-28	PPAR signaling pathway: ACSL1	51703	ACSL5	ACSL5	NA
hsa03320	P-hsa03320-28	PPAR signaling pathway: ACSL1	81616	ACSBG2	ACSBG2	NA
hsa03320	P-hsa03320-25	PPAR signaling pathway: EHHADH	5465	PPARA	NA	NA
hsa03320	P-hsa03320-25	PPAR signaling pathway: EHHADH	6256	RXRA	NA	NA
hsa03320	P-hsa03320-25	PPAR signaling pathway: EHHADH	6257	RXRB	NA	NA
hsa03320	P-hsa03320-25	PPAR signaling pathway: EHHADH	6258	RXRG	NA	NA
hsa03320	P-hsa03320-25	PPAR signaling pathway: EHHADH	1962	EHHADH	EHHADH	EHHADH
hsa03320	P-hsa03320-21	PPAR signaling pathway: ACAA1	5465	PPARA	NA	NA
hsa03320	P-hsa03320-21	PPAR signaling pathway: ACAA1	6256	RXRA	NA	NA
hsa03320	P-hsa03320-21	PPAR signaling pathway: ACAA1	6257	RXRB	NA	NA
hsa03320	P-hsa03320-21	PPAR signaling pathway: ACAA1	6258	RXRG	NA	NA
hsa03320	P-hsa03320-21	PPAR signaling pathway: ACAA1	30	ACAA1	ACAA1	ACAA1
hsa03320	P-hsa03320-20	PPAR signaling pathway: SCP2	5465	PPARA	NA	NA
hsa03320	P-hsa03320-20	PPAR signaling pathway: SCP2	6256	RXRA	NA	NA
hsa03320	P-hsa03320-20	PPAR signaling pathway: SCP2	6257	RXRB	NA	NA
hsa03320	P-hsa03320-20	PPAR signaling pathway: SCP2	6258	RXRG	NA	NA
hsa03320	P-hsa03320-20	PPAR signaling pathway: SCP2	6342	SCP2	SCP2	SCP2
hsa03320	P-hsa03320-42	PPAR signaling pathway: ACOX1	5465	PPARA	NA	NA
hsa03320	P-hsa03320-42	PPAR signaling pathway: ACOX1	6256	RXRA	NA	NA
hsa03320	P-hsa03320-42	PPAR signaling pathway: ACOX1	6257	RXRB	NA	NA
hsa03320	P-hsa03320-42	PPAR signaling pathway: ACOX1	6258	RXRG	NA	NA
hsa03320	P-hsa03320-42	PPAR signaling pathway: ACOX1	5467	PPARD	NA	NA
hsa03320	P-hsa03320-42	PPAR signaling pathway: ACOX1	51	ACOX1	ACOX1	ACOX1
hsa03320	P-hsa03320-42	PPAR signaling pathway: ACOX1	8309	ACOX2	ACOX2	NA
hsa03320	P-hsa03320-42	PPAR signaling pathway: ACOX1	8310	ACOX3	ACOX3	NA
hsa03320	P-hsa03320-27	PPAR signaling pathway: CPT1C	5465	PPARA	NA	NA
hsa03320	P-hsa03320-27	PPAR signaling pathway: CPT1C	6256	RXRA	NA	NA
hsa03320	P-hsa03320-27	PPAR signaling pathway: CPT1C	6257	RXRB	NA	NA
hsa03320	P-hsa03320-27	PPAR signaling pathway: CPT1C	6258	RXRG	NA	NA
hsa03320	P-hsa03320-27	PPAR signaling pathway: CPT1C	5467	PPARD	NA	NA
hsa03320	P-hsa03320-27	PPAR signaling pathway: CPT1C	5468	PPARG	NA	NA
hsa03320	P-hsa03320-27	PPAR signaling pathway: CPT1C	126129	CPT1C	CPT1C	CPT1C
hsa03320	P-hsa03320-27	PPAR signaling pathway: CPT1C	1374	CPT1A	CPT1A	NA
hsa03320	P-hsa03320-27	PPAR signaling pathway: CPT1C	1375	CPT1B	CPT1B	NA
hsa03320	P-hsa03320-26	PPAR signaling pathway: CPT2	5465	PPARA	NA	NA
hsa03320	P-hsa03320-26	PPAR signaling pathway: CPT2	6256	RXRA	NA	NA
hsa03320	P-hsa03320-26	PPAR signaling pathway: CPT2	6257	RXRB	NA	NA
hsa03320	P-hsa03320-26	PPAR signaling pathway: CPT2	6258	RXRG	NA	NA
hsa03320	P-hsa03320-26	PPAR signaling pathway: CPT2	1376	CPT2	CPT2	CPT2
hsa03320	P-hsa03320-22	PPAR signaling pathway: ACADM	5465	PPARA	NA	NA
hsa03320	P-hsa03320-22	PPAR signaling pathway: ACADM	6256	RXRA	NA	NA
hsa03320	P-hsa03320-22	PPAR signaling pathway: ACADM	6257	RXRB	NA	NA
hsa03320	P-hsa03320-22	PPAR signaling pathway: ACADM	6258	RXRG	NA	NA
hsa03320	P-hsa03320-22	PPAR signaling pathway: ACADM	34	ACADM	ACADM	ACADM
hsa03320	P-hsa03320-41	PPAR signaling pathway: ANGPTL4	5465	PPARA	NA	NA
hsa03320	P-hsa03320-41	PPAR signaling pathway: ANGPTL4	6256	RXRA	NA	NA
hsa03320	P-hsa03320-41	PPAR signaling pathway: ANGPTL4	6257	RXRB	NA	NA
hsa03320	P-hsa03320-41	PPAR signaling pathway: ANGPTL4	6258	RXRG	NA	NA
hsa03320	P-hsa03320-41	PPAR signaling pathway: ANGPTL4	5467	PPARD	NA	NA
hsa03320	P-hsa03320-41	PPAR signaling pathway: ANGPTL4	5468	PPARG	NA	NA
hsa03320	P-hsa03320-41	PPAR signaling pathway: ANGPTL4	51129	ANGPTL4	ANGPTL4	ANGPTL4
hsa03320	P-hsa03320-66	PPAR signaling pathway: UCP1	5465	PPARA	NA	NA
hsa03320	P-hsa03320-66	PPAR signaling pathway: UCP1	6256	RXRA	NA	NA
hsa03320	P-hsa03320-66	PPAR signaling pathway: UCP1	6257	RXRB	NA	NA
hsa03320	P-hsa03320-66	PPAR signaling pathway: UCP1	6258	RXRG	NA	NA
hsa03320	P-hsa03320-66	PPAR signaling pathway: UCP1	5467	PPARD	NA	NA
hsa03320	P-hsa03320-66	PPAR signaling pathway: UCP1	5468	PPARG	NA	NA
hsa03320	P-hsa03320-66	PPAR signaling pathway: UCP1	7350	UCP1	UCP1	UCP1
hsa03320	P-hsa03320-60	PPAR signaling pathway: CYP27A1	5468	PPARG	NA	NA
hsa03320	P-hsa03320-60	PPAR signaling pathway: CYP27A1	6256	RXRA	NA	NA
hsa03320	P-hsa03320-60	PPAR signaling pathway: CYP27A1	6257	RXRB	NA	NA
hsa03320	P-hsa03320-60	PPAR signaling pathway: CYP27A1	6258	RXRG	NA	NA
hsa03320	P-hsa03320-60	PPAR signaling pathway: CYP27A1	1593	CYP27A1	CYP27A1	CYP27A1
hsa03320	P-hsa03320-31	PPAR signaling pathway: CD36	5468	PPARG	NA	NA
hsa03320	P-hsa03320-31	PPAR signaling pathway: CD36	6256	RXRA	NA	NA
hsa03320	P-hsa03320-31	PPAR signaling pathway: CD36	6257	RXRB	NA	NA
hsa03320	P-hsa03320-31	PPAR signaling pathway: CD36	6258	RXRG	NA	NA
hsa03320	P-hsa03320-31	PPAR signaling pathway: CD36	948	CD36	CD36	CD36
hsa03320	P-hsa03320-29	PPAR signaling pathway: OLR1	5468	PPARG	NA	NA
hsa03320	P-hsa03320-29	PPAR signaling pathway: OLR1	6256	RXRA	NA	NA
hsa03320	P-hsa03320-29	PPAR signaling pathway: OLR1	6257	RXRB	NA	NA
hsa03320	P-hsa03320-29	PPAR signaling pathway: OLR1	6258	RXRG	NA	NA
hsa03320	P-hsa03320-29	PPAR signaling pathway: OLR1	4973	OLR1	OLR1	OLR1
hsa03320	P-hsa03320-10	PPAR signaling pathway: PLIN1	5468	PPARG	NA	NA
hsa03320	P-hsa03320-10	PPAR signaling pathway: PLIN1	6256	RXRA	NA	NA
hsa03320	P-hsa03320-10	PPAR signaling pathway: PLIN1	6257	RXRB	NA	NA
hsa03320	P-hsa03320-10	PPAR signaling pathway: PLIN1	6258	RXRG	NA	NA
hsa03320	P-hsa03320-10	PPAR signaling pathway: PLIN1	5346	PLIN1	PLIN1	PLIN1
hsa03320	P-hsa03320-40	PPAR signaling pathway: FABP4	5468	PPARG	NA	NA
hsa03320	P-hsa03320-40	PPAR signaling pathway: FABP4	6256	RXRA	NA	NA
hsa03320	P-hsa03320-40	PPAR signaling pathway: FABP4	6257	RXRB	NA	NA
hsa03320	P-hsa03320-40	PPAR signaling pathway: FABP4	6258	RXRG	NA	NA
hsa03320	P-hsa03320-40	PPAR signaling pathway: FABP4	2167	FABP4	FABP4	FABP4
hsa03320	P-hsa03320-53	PPAR signaling pathway: ADIPOQ	5468	PPARG	NA	NA
hsa03320	P-hsa03320-53	PPAR signaling pathway: ADIPOQ	6256	RXRA	NA	NA
hsa03320	P-hsa03320-53	PPAR signaling pathway: ADIPOQ	6257	RXRB	NA	NA
hsa03320	P-hsa03320-53	PPAR signaling pathway: ADIPOQ	6258	RXRG	NA	NA
hsa03320	P-hsa03320-53	PPAR signaling pathway: ADIPOQ	9370	ADIPOQ	ADIPOQ	ADIPOQ
hsa03320	P-hsa03320-38	PPAR signaling pathway: SORBS1	5468	PPARG	NA	NA
hsa03320	P-hsa03320-38	PPAR signaling pathway: SORBS1	6256	RXRA	NA	NA
hsa03320	P-hsa03320-38	PPAR signaling pathway: SORBS1	6257	RXRB	NA	NA
hsa03320	P-hsa03320-38	PPAR signaling pathway: SORBS1	6258	RXRG	NA	NA
hsa03320	P-hsa03320-38	PPAR signaling pathway: SORBS1	10580	SORBS1	SORBS1	SORBS1
hsa03320	P-hsa03320-39	PPAR signaling pathway: MMP1	5468	PPARG	NA	NA
hsa03320	P-hsa03320-39	PPAR signaling pathway: MMP1	6256	RXRA	NA	NA
hsa03320	P-hsa03320-39	PPAR signaling pathway: MMP1	6257	RXRB	NA	NA
hsa03320	P-hsa03320-39	PPAR signaling pathway: MMP1	6258	RXRG	NA	NA
hsa03320	P-hsa03320-39	PPAR signaling pathway: MMP1	4312	MMP1	MMP1	MMP1
hsa03320	P-hsa03320-9	PPAR signaling pathway: PCK1	5468	PPARG	NA	NA
hsa03320	P-hsa03320-9	PPAR signaling pathway: PCK1	6256	RXRA	NA	NA
hsa03320	P-hsa03320-9	PPAR signaling pathway: PCK1	6257	RXRB	NA	NA
hsa03320	P-hsa03320-9	PPAR signaling pathway: PCK1	6258	RXRG	NA	NA
hsa03320	P-hsa03320-9	PPAR signaling pathway: PCK1	5105	PCK1	PCK1	PCK1
hsa03320	P-hsa03320-9	PPAR signaling pathway: PCK1	5106	PCK2	PCK2	NA
hsa03320	P-hsa03320-7	PPAR signaling pathway: AQP7	5468	PPARG	NA	NA
hsa03320	P-hsa03320-7	PPAR signaling pathway: AQP7	6256	RXRA	NA	NA
hsa03320	P-hsa03320-7	PPAR signaling pathway: AQP7	6257	RXRB	NA	NA
hsa03320	P-hsa03320-7	PPAR signaling pathway: AQP7	6258	RXRG	NA	NA
hsa03320	P-hsa03320-7	PPAR signaling pathway: AQP7	364	AQP7	AQP7	AQP7
hsa03320	P-hsa03320-8	PPAR signaling pathway: GK	5468	PPARG	NA	NA
hsa03320	P-hsa03320-8	PPAR signaling pathway: GK	6256	RXRA	NA	NA
hsa03320	P-hsa03320-8	PPAR signaling pathway: GK	6257	RXRB	NA	NA
hsa03320	P-hsa03320-8	PPAR signaling pathway: GK	6258	RXRG	NA	NA
hsa03320	P-hsa03320-8	PPAR signaling pathway: GK	2710	GK	GK	GK
hsa03320	P-hsa03320-8	PPAR signaling pathway: GK	2712	GK2	GK2	NA
hsa03320	P-hsa03320-32	PPAR signaling pathway: FABP3	5467	PPARD	NA	NA
hsa03320	P-hsa03320-32	PPAR signaling pathway: FABP3	6256	RXRA	NA	NA
hsa03320	P-hsa03320-32	PPAR signaling pathway: FABP3	6257	RXRB	NA	NA
hsa03320	P-hsa03320-32	PPAR signaling pathway: FABP3	6258	RXRG	NA	NA
hsa03320	P-hsa03320-32	PPAR signaling pathway: FABP3	2170	FABP3	FABP3	FABP3
hsa03320	P-hsa03320-23	PPAR signaling pathway: ACADL	5467	PPARD	NA	NA
hsa03320	P-hsa03320-23	PPAR signaling pathway: ACADL	6256	RXRA	NA	NA
hsa03320	P-hsa03320-23	PPAR signaling pathway: ACADL	6257	RXRB	NA	NA
hsa03320	P-hsa03320-23	PPAR signaling pathway: ACADL	6258	RXRG	NA	NA
hsa03320	P-hsa03320-23	PPAR signaling pathway: ACADL	33	ACADL	ACADL	ACADL
hsa03320	P-hsa03320-43	PPAR signaling pathway: ILK	5467	PPARD	NA	NA
hsa03320	P-hsa03320-43	PPAR signaling pathway: ILK	6256	RXRA	NA	NA
hsa03320	P-hsa03320-43	PPAR signaling pathway: ILK	6257	RXRB	NA	NA
hsa03320	P-hsa03320-43	PPAR signaling pathway: ILK	6258	RXRG	NA	NA
hsa03320	P-hsa03320-43	PPAR signaling pathway: ILK	3611	ILK	ILK	ILK
hsa03320	P-hsa03320-45	PPAR signaling pathway: PDPK1	5467	PPARD	NA	NA
hsa03320	P-hsa03320-45	PPAR signaling pathway: PDPK1	6256	RXRA	NA	NA
hsa03320	P-hsa03320-45	PPAR signaling pathway: PDPK1	6257	RXRB	NA	NA
hsa03320	P-hsa03320-45	PPAR signaling pathway: PDPK1	6258	RXRG	NA	NA
hsa03320	P-hsa03320-45	PPAR signaling pathway: PDPK1	5170	PDPK1	PDPK1	PDPK1
hsa03320	P-hsa03320-62	PPAR signaling pathway: UBC	5467	PPARD	NA	NA
hsa03320	P-hsa03320-62	PPAR signaling pathway: UBC	6256	RXRA	NA	NA
hsa03320	P-hsa03320-62	PPAR signaling pathway: UBC	6257	RXRB	NA	NA
hsa03320	P-hsa03320-62	PPAR signaling pathway: UBC	6258	RXRG	NA	NA
hsa03320	P-hsa03320-62	PPAR signaling pathway: UBC	7316	UBC	UBC	UBC
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	5495	PPM1B	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	9448	MAP4K4	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	1147	CHUK	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	3551	IKBKB	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	8517	IKBKG	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	9020	MAP3K14	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	6885	MAP3K7	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	10454	TAB1	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	7186	TRAF2	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	836	CASP3	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	929	CD14	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	3554	IL1R1	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	7850	IL1R2	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	7132	TNFRSF1A	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	3552	IL1A	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	3553	IL1B	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	7124	TNF	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	5879	RAC1	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	5880	RAC2	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	5881	RAC3	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	998	CDC42	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	1326	MAP3K8	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	8491	MAP4K3	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	23118	TAB2	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	7189	TRAF6	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	23162	MAPK8IP3	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	4214	MAP3K1	NA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	4790	NFKB1	NFKB1	NFKB1
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	4791	NFKB2	NFKB2	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	5970	RELA	RELA	NA
hsa04010	P-hsa04010-15	MAPK signaling pathway: NFKB1	5971	RELB	RELB	NA
hsa04010	P-hsa04010-61	MAPK signaling pathway: ATF4	5495	PPM1B	NA	NA
hsa04010	P-hsa04010-61	MAPK signaling pathway: ATF4	356	FASLG	NA	NA
hsa04010	P-hsa04010-61	MAPK signaling pathway: ATF4	8986	RPS6KA4	NA	NA
hsa04010	P-hsa04010-61	MAPK signaling pathway: ATF4	9252	RPS6KA5	NA	NA
hsa04010	P-hsa04010-61	MAPK signaling pathway: ATF4	7867	MAPKAPK3	NA	NA
hsa04010	P-hsa04010-61	MAPK signaling pathway: ATF4	9261	MAPKAPK2	NA	NA
hsa04010	P-hsa04010-61	MAPK signaling pathway: ATF4	1432	MAPK14	NA	NA
hsa04010	P-hsa04010-61	MAPK signaling pathway: ATF4	5600	MAPK11	NA	NA
hsa04010	P-hsa04010-61	MAPK signaling pathway: ATF4	5603	MAPK13	NA	NA
hsa04010	P-hsa04010-61	MAPK signaling pathway: ATF4	6300	MAPK12	NA	NA
hsa04010	P-hsa04010-61	MAPK signaling pathway: ATF4	100506012	PPP5D1	NA	NA
hsa04010	P-hsa04010-61	MAPK signaling pathway: ATF4	5536	PPP5C	NA	NA
hsa04010	P-hsa04010-61	MAPK signaling pathway: ATF4	5608	MAP2K6	NA	NA
hsa04010	P-hsa04010-61	MAPK signaling pathway: ATF4	5606	MAP2K3	NA	NA
hsa04010	P-hsa04010-61	MAPK signaling pathway: ATF4	11221	DUSP10	NA	NA
hsa04010	P-hsa04010-61	MAPK signaling pathway: ATF4	1843	DUSP1	NA	NA
hsa04010	P-hsa04010-61	MAPK signaling pathway: ATF4	1844	DUSP2	NA	NA
hsa04010	P-hsa04010-61	MAPK signaling pathway: ATF4	1846	DUSP4	NA	NA
hsa04010	P-hsa04010-61	MAPK signaling pathway: ATF4	1847	DUSP5	NA	NA
hsa04010	P-hsa04010-61	MAPK signaling pathway: ATF4	1848	DUSP6	NA	NA
hsa04010	P-hsa04010-61	MAPK signaling pathway: ATF4	1849	DUSP7	NA	NA
hsa04010	P-hsa04010-61	MAPK signaling pathway: ATF4	1850	DUSP8	NA	NA
hsa04010	P-hsa04010-61	MAPK signaling pathway: ATF4	1852	DUSP9	NA	NA
hsa04010	P-hsa04010-61	MAPK signaling pathway: ATF4	80824	DUSP16	NA	NA
