gene	DB_symbol	regulation	GeneType	ONG_Alias	ONG_Links	ONG_Cytoband	ONG_FullName	TSG_Alias	TSG_Links	TSG_Chromosome	TSG_Cytoband	TSG_FullName
3845	KRAS	ONG	protein-coding	C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RALD|RASK2	MIM:190070|HGNC:HGNC:6407|Ensembl:ENSG00000133703|HPRD:01817|Vega:OTTHUMG00000171193	12p12.1	Kirsten rat sarcoma viral oncogene homolog	NA	NA	NA	NA	NA
3815	KIT	ONG	protein-coding	C-Kit|CD117|PBT|SCFR	MIM:164920|HGNC:HGNC:6342|Ensembl:ENSG00000157404|HPRD:01287|Vega:OTTHUMG00000128713	4q12	KIT proto-oncogene receptor tyrosine kinase	NA	NA	NA	NA	NA
3717	JAK2	ONG	protein-coding	JTK10|THCYT3	MIM:147796|HGNC:HGNC:6192|Ensembl:ENSG00000096968|HPRD:00993|Vega:OTTHUMG00000019490	9p24	Janus kinase 2	NA	NA	NA	NA	NA
3265	HRAS	ONG	protein-coding	C-BAS/HAS|C-H-RAS|C-HA-RAS1|CTLO|H-RASIDX|HAMSV|HRAS1|RASH1|p21ras	MIM:190020|HGNC:HGNC:5173|Ensembl:ENSG00000174775|HPRD:01813|Vega:OTTHUMG00000131919	11p15.5	Harvey rat sarcoma viral oncogene homolog	NA	NA	NA	NA	NA
25	ABL1	ONG	protein-coding	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	MIM:189980|HGNC:HGNC:76|Ensembl:ENSG00000097007|HPRD:01809|Vega:OTTHUMG00000020813	9q34.1	ABL proto-oncogene 1, non-receptor tyrosine kinase	NA	NA	NA	NA	NA
238	ALK	ONG	protein-coding	CD246|NBLST3	MIM:105590|HGNC:HGNC:427|Ensembl:ENSG00000171094|HPRD:00104|Vega:OTTHUMG00000152034	2p23	anaplastic lymphoma receptor tyrosine kinase	NA	NA	NA	NA	NA
2263	FGFR2	ONG	protein-coding	BBDS|BEK|BFR-1|CD332|CEK3|CFD1|ECT1|JWS|K-SAM|KGFR|TK14|TK25	MIM:176943|HGNC:HGNC:3689|Ensembl:ENSG00000066468|HPRD:01492|Vega:OTTHUMG00000019175	10q26	fibroblast growth factor receptor 2	NA	NA	NA	NA	NA
207	AKT1	ONG	protein-coding	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	MIM:164730|HGNC:HGNC:391|Ensembl:ENSG00000142208|HPRD:01261|Vega:OTTHUMG00000170795	14q32.32	v-akt murine thymoma viral oncogene homolog 1	NA	NA	NA	NA	NA
1436	CSF1R	ONG	protein-coding	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	MIM:164770|HGNC:HGNC:2433|Ensembl:ENSG00000182578|HPRD:01269|Vega:OTTHUMG00000130050	5q32	colony stimulating factor 1 receptor	NA	NA	NA	NA	NA
9314	KLF4	both	protein-coding	EZF|GKLF	MIM:602253|HGNC:HGNC:6348|Ensembl:ENSG00000136826|Vega:OTTHUMG00000020449	9q31	Kruppel-like factor 4 (gut)	EZF|GKLF	MIM:602253|HGNC:HGNC:6348|Ensembl:ENSG00000136826|Vega:OTTHUMG00000020449	9	9q31	Kruppel-like factor 4 (gut)
9232	PTTG1	ONG	protein-coding	EAP1|HPTTG|PTTG|TUTR1	MIM:604147|HGNC:HGNC:9690|Ensembl:ENSG00000164611|HPRD:04998|Vega:OTTHUMG00000130328	5q35.1	pituitary tumor-transforming 1	NA	NA	NA	NA	NA
9098	USP6	ONG	protein-coding	HRP1|TRE17|TRE2|TRESMCR|Tre-2|USP6-short	MIM:604334|HGNC:HGNC:12629|Ensembl:ENSG00000129204|HPRD:06827|Vega:OTTHUMG00000099449	17p13	ubiquitin specific peptidase 6	NA	NA	NA	NA	NA
8725	URI1	ONG	protein-coding	C19orf2|NNX3|PPP1R19|RMP|URI	MIM:603494|HGNC:HGNC:13236|Ensembl:ENSG00000105176|HPRD:11943|Vega:OTTHUMG00000177923	19q12	URI1 prefoldin-like chaperone	NA	NA	NA	NA	NA
865	CBFB	ONG	protein-coding	PEBP2B	MIM:121360|HGNC:HGNC:1539|Ensembl:ENSG00000067955|HPRD:00418|Vega:OTTHUMG00000137520	16q22.1	core-binding factor, beta subunit	NA	NA	NA	NA	NA
862	RUNX1T1	ONG	protein-coding	AML1-MTG8|AML1T1|CBFA2T1|CDR|ETO|MTG8|ZMYND2	MIM:133435|HGNC:HGNC:1535|Ensembl:ENSG00000079102|HPRD:00590|Vega:OTTHUMG00000164066	8q22	runt related transcription factor 1; translocated to, 1 (cyclin D related)	NA	NA	NA	NA	NA
861	RUNX1	both	protein-coding	AML1|AML1-EVI-1|AMLCR1|CBF2alpha|CBFA2|EVI-1|PEBP2aB|PEBP2alpha	MIM:151385|HGNC:HGNC:10471|Ensembl:ENSG00000159216|HPRD:01043|Vega:OTTHUMG00000086299	21q22.3	runt related transcription factor 1	AML1|AML1-EVI-1|AMLCR1|CBFA2|EVI-1|PEBP2aB	MIM:151385|HGNC:HGNC:10471|Ensembl:ENSG00000159216|HPRD:01043|Vega:OTTHUMG00000086299	21	21q22.3	runt-related transcription factor 1
84433	CARD11	ONG	protein-coding	BENTA|BIMP3|CARMA1|IMD11|PPBL	MIM:607210|HGNC:HGNC:16393|Ensembl:ENSG00000198286|HPRD:06234|Vega:OTTHUMG00000023023	7p22	caspase recruitment domain family member 11	NA	NA	NA	NA	NA
8328	GFI1B	ONG	protein-coding	BDPLT17|ZNF163B	MIM:604383|HGNC:HGNC:4238|Ensembl:ENSG00000165702|HPRD:05088|Vega:OTTHUMG00000020848	9q34.13	growth factor independent 1B transcription repressor	NA	NA	NA	NA	NA
8115	TCL1A	ONG	protein-coding	TCL1	MIM:186960|HGNC:HGNC:11648|Ensembl:ENSG00000100721|HPRD:01744|Vega:OTTHUMG00000171390	14q32.1	T-cell leukemia/lymphoma 1A	NA	NA	NA	NA	NA
8091	HMGA2	ONG	protein-coding	BABL|HMGI-C|HMGIC|LIPO|STQTL9	MIM:600698|HGNC:HGNC:5009|Ensembl:ENSG00000149948|HPRD:02827|Vega:OTTHUMG00000168936	12q15	high mobility group AT-hook 2	NA	NA	NA	NA	NA
8031	NCOA4	both	protein-coding	ARA70|ELE1|PTC3|RFG	MIM:601984|HGNC:HGNC:7671|Ensembl:ENSG00000266412|HPRD:03584|Vega:OTTHUMG00000188314	10q11.2	nuclear receptor coactivator 4	ARA70|ELE1|PTC3|RFG	MIM:601984|HGNC:HGNC:7671|Ensembl:ENSG00000266412|HPRD:03584|Vega:OTTHUMG00000188314	10	10q11.2	nuclear receptor coactivator 4
7994	KAT6A	ONG	protein-coding	MOZ|MRD32|MYST-3|MYST3|RUNXBP2|ZC2HC6A|ZNF220	MIM:601408|HGNC:HGNC:13013|Ensembl:ENSG00000083168|HPRD:03244|Vega:OTTHUMG00000150453	8p11	lysine acetyltransferase 6A	NA	NA	NA	NA	NA
7913	DEK	ONG	protein-coding	D6S231E	MIM:125264|HGNC:HGNC:2768|Ensembl:ENSG00000124795|HPRD:00503|Vega:OTTHUMG00000014319	6p22.3	DEK proto-oncogene	NA	NA	NA	NA	NA
7525	YES1	ONG	protein-coding	HsT441|P61-YES|Yes|c-yes	MIM:164880|HGNC:HGNC:12841|Ensembl:ENSG00000176105|HPRD:01285|Vega:OTTHUMG00000131472	18p11.31-p11.21	YES proto-oncogene 1, Src family tyrosine kinase	NA	NA	NA	NA	NA
6886	TAL1	ONG	protein-coding	SCL|TCL5|bHLHa17|tal-1	MIM:187040|HGNC:HGNC:11556|Ensembl:ENSG00000162367|HPRD:01753|Vega:OTTHUMG00000007847	1p32	T-cell acute lymphocytic leukemia 1	NA	NA	NA	NA	NA
6790	AURKA	ONG	protein-coding	AIK|ARK1|AURA|AURORA2|BTAK|PPP1R47|STK15|STK6|STK7	MIM:603072|HGNC:HGNC:11393|Ensembl:ENSG00000087586|HPRD:04066|HPRD:04352|Vega:OTTHUMG00000032796	20q13	aurora kinase A	NA	NA	NA	NA	NA
6760	SS18	ONG	protein-coding	SSXT|SYT	MIM:600192|HGNC:HGNC:11340|Ensembl:ENSG00000141380|HPRD:02559|Vega:OTTHUMG00000179425	18q11.2	synovial sarcoma translocation, chromosome 18	NA	NA	NA	NA	NA
6714	SRC	ONG	protein-coding	ASV|SRC1|c-SRC|p60-Src	MIM:190090|HGNC:HGNC:11283|Ensembl:ENSG00000197122|HPRD:01819|Vega:OTTHUMG00000032417	20q12-q13	SRC proto-oncogene, non-receptor tyrosine kinase	NA	NA	NA	NA	NA
6608	SMO	ONG	protein-coding	FZD11|Gx|SMOH	MIM:601500|HGNC:HGNC:11119|Ensembl:ENSG00000128602|HPRD:03294|Vega:OTTHUMG00000158421	7q32.3	smoothened, frizzled class receptor	NA	NA	NA	NA	NA
6497	SKI	ONG	protein-coding	SGS|SKV	MIM:164780|HGNC:HGNC:10896|Ensembl:ENSG00000157933|HPRD:01271|Vega:OTTHUMG00000001407	1p36.33	SKI proto-oncogene	NA	NA	NA	NA	NA
648	BMI1	ONG	protein-coding	FLVI2/BMI1|PCGF4|RNF51|flvi-2/bmi-1	MIM:164831|HGNC:HGNC:1066|Ensembl:ENSG00000168283|HPRD:01277|Vega:OTTHUMG00000017807	10p11.23	BMI1 proto-oncogene, polycomb ring finger	NA	NA	NA	NA	NA
64324	NSD1	ONG	protein-coding	ARA267|KMT3B|SOTOS|SOTOS1|STO	MIM:606681|HGNC:HGNC:14234|Ensembl:ENSG00000165671|HPRD:09455|Vega:OTTHUMG00000130846	5q35	nuclear receptor binding SET domain protein 1	NA	NA	NA	NA	NA
6427	SRSF2	ONG	protein-coding	PR264|SC-35|SC35|SFRS2|SFRS2A|SRp30b	MIM:600813|HGNC:HGNC:10783|Ensembl:ENSG00000161547|HPRD:02888|Vega:OTTHUMG00000177547	17q25.1	serine/arginine-rich splicing factor 2	NA	NA	NA	NA	NA
613	BCR	both	protein-coding	ALL|BCR1|CML|D22S11|D22S662|PHL	MIM:151410|HGNC:HGNC:1014|Ensembl:ENSG00000186716|HPRD:01044|Vega:OTTHUMG00000150655	22q11.23	breakpoint cluster region	ALL|BCR1|CML|D22S11|D22S662|PHL	MIM:151410|HGNC:HGNC:1014|Ensembl:ENSG00000186716|HPRD:01044|Vega:OTTHUMG00000150655	22	22q11.23	breakpoint cluster region
6098	ROS1	ONG	protein-coding	MCF3|ROS|c-ros-1	MIM:165020|HGNC:HGNC:10261|Ensembl:ENSG00000047936|HPRD:01295|Vega:OTTHUMG00000016188	6q22	ROS proto-oncogene 1 , receptor tyrosine kinase	NA	NA	NA	NA	NA
604	BCL6	ONG	protein-coding	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51	MIM:109565|HGNC:HGNC:1001|Ensembl:ENSG00000113916|HPRD:00180|Vega:OTTHUMG00000156441	3q27	B-cell CLL/lymphoma 6	NA	NA	NA	NA	NA
602	BCL3	ONG	protein-coding	BCL4|D19S37	MIM:109560|HGNC:HGNC:998|Ensembl:ENSG00000069399|HPRD:00179|Vega:OTTHUMG00000151517	19q13.32	B-cell CLL/lymphoma 3	NA	NA	NA	NA	NA
595	CCND1	ONG	protein-coding	BCL1|D11S287E|PRAD1|U21B31	MIM:168461|HGNC:HGNC:1582|Ensembl:ENSG00000110092|HPRD:01346|Vega:OTTHUMG00000167877	11q13	cyclin D1	NA	NA	NA	NA	NA
5894	RAF1	ONG	protein-coding	CMD1NN|CRAF|NS5|Raf-1|c-Raf	MIM:164760|HGNC:HGNC:9829|Ensembl:ENSG00000132155|HPRD:01265|Vega:OTTHUMG00000129789	3p25	Raf-1 proto-oncogene, serine/threonine kinase	NA	NA	NA	NA	NA
5781	PTPN11	both	protein-coding	BPTP3|CFC|JMML|METCDS|NS1|PTP-1D|PTP2C|SH-PTP2|SH-PTP3|SHP2	MIM:176876|HGNC:HGNC:9644|Ensembl:ENSG00000179295|HPRD:01470|Vega:OTTHUMG00000134334	12q24	protein tyrosine phosphatase, non-receptor type 11	BPTP3|CFC|NS1|PTP-1D|PTP2C|SH-PTP2|SH-PTP3|SHP2	MIM:176876|HGNC:HGNC:9644|Ensembl:ENSG00000179295|HPRD:01470|Vega:OTTHUMG00000134334	12	12q24	protein tyrosine phosphatase, non-receptor type 11
574032	MIR20B	ONG	ncRNA	MIRN20B|hsa-mir-20b|mir-20b	MIM:300950|HGNC:HGNC:32024|Ensembl:ENSG00000207710|miRBase:MI0001519	Xq26.2	microRNA 20b	NA	NA	NA	NA	NA
5584	PRKCI	ONG	protein-coding	DXS1179E|PKCI|nPKC-iota	MIM:600539|HGNC:HGNC:9404|Ensembl:ENSG00000163558|HPRD:02105|Vega:OTTHUMG00000150214	3q26.3	protein kinase C iota	NA	NA	NA	NA	NA
5518	PPP2R1A	ONG	protein-coding	MRD36|PP2A-Aalpha|PP2AAALPHA|PR65A	MIM:605983|HGNC:HGNC:9302|HPRD:16184	19q13.41	protein phosphatase 2 regulatory subunit A, alpha	NA	NA	NA	NA	NA
5371	PML	both	protein-coding	MYL|PP8675|RNF71|TRIM19	MIM:102578|HGNC:HGNC:9113|Ensembl:ENSG00000140464|HPRD:00023|Vega:OTTHUMG00000137607	15q22	promyelocytic leukemia	MYL|PP8675|RNF71|TRIM19	MIM:102578|HGNC:HGNC:9113|Ensembl:ENSG00000140464|HPRD:00023|Vega:OTTHUMG00000137607	15	15q22	promyelocytic leukemia
5324	PLAG1	ONG	protein-coding	PSA|SGPA|ZNF912	MIM:603026|HGNC:HGNC:9045|Ensembl:ENSG00000181690|HPRD:04321|Vega:OTTHUMG00000164310	8q12	PLAG1 zinc finger	NA	NA	NA	NA	NA
5292	PIM1	ONG	protein-coding	PIM	MIM:164960|HGNC:HGNC:8986|Ensembl:ENSG00000137193|HPRD:01292|Vega:OTTHUMG00000016426	6p21.2	Pim-1 proto-oncogene, serine/threonine kinase	NA	NA	NA	NA	NA
4914	NTRK1	ONG	protein-coding	MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA	MIM:191315|HGNC:HGNC:8031|Ensembl:ENSG00000198400|HPRD:01869|Vega:OTTHUMG00000041304	1q21-q22	neurotrophic tyrosine kinase, receptor, type 1	NA	NA	NA	NA	NA
4613	MYCN	ONG	protein-coding	MODED|N-myc|NMYC|ODED|bHLHe37	MIM:164840|HGNC:HGNC:7559|Ensembl:ENSG00000134323|HPRD:01278|Vega:OTTHUMG00000039579	2p24.3	v-myc avian myelocytomatosis viral oncogene neuroblastoma derived homolog	NA	NA	NA	NA	NA
4609	MYC	ONG	protein-coding	MRTL|MYCC|bHLHe39|c-Myc	MIM:190080|HGNC:HGNC:7553|Ensembl:ENSG00000136997|HPRD:01818|Vega:OTTHUMG00000128475	8q24.21	v-myc avian myelocytomatosis viral oncogene homolog	NA	NA	NA	NA	NA
4602	MYB	ONG	protein-coding	Cmyb|c-myb|c-myb_CDS|efg	MIM:189990|HGNC:HGNC:7545|Ensembl:ENSG00000118513|HPRD:01810|Vega:OTTHUMG00000015629	6q22-q23	MYB proto-oncogene, transcription factor	NA	NA	NA	NA	NA
442918	MIR373	ONG	ncRNA	MIRN373|hsa-mir-373|miRNA373|mir-373	MIM:611954|HGNC:HGNC:31787|Ensembl:ENSG00000199143|miRBase:MI0000781	19q13.42	microRNA 373	NA	NA	NA	NA	NA
442917	MIR372	ONG	ncRNA	MIRN372|hsa-mir-372	MIM:612044|HGNC:HGNC:31786|Ensembl:ENSG00000199095|miRBase:MI0000780	19q13.42	microRNA 372	NA	NA	NA	NA	NA
4352	MPL	ONG	protein-coding	C-MPL|CD110|MPLV|THCYT2|TPOR	MIM:159530|HGNC:HGNC:7217|HPRD:01161	1p34	MPL proto-oncogene, thrombopoietin receptor	NA	NA	NA	NA	NA
4342	MOS	ONG	protein-coding	MSV	MIM:190060|HGNC:HGNC:7199|Ensembl:ENSG00000172680|HPRD:01816|Vega:OTTHUMG00000164299	8q11	v-mos Moloney murine sarcoma viral oncogene homolog	NA	NA	NA	NA	NA
4300	MLLT3	ONG	protein-coding	AF9|YEATS3	MIM:159558|HGNC:HGNC:7136|Ensembl:ENSG00000171843|HPRD:01163|Vega:OTTHUMG00000019650	9p22	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3	NA	NA	NA	NA	NA
4299	AFF1	ONG	protein-coding	AF4|MLLT2|PBM1	MIM:159557|HGNC:HGNC:7135|Ensembl:ENSG00000172493|HPRD:08871|Vega:OTTHUMG00000130603	4q21	AF4/FMR2 family member 1	NA	NA	NA	NA	NA
4297	KMT2A	ONG	protein-coding	ALL-1|CXXC7|HRX|HTRX1|MLL|MLL-AF9|MLL/GAS7|MLL1|MLL1A|TET1-MLL|TRX1|WDSTS	MIM:159555|HGNC:HGNC:7132|Ensembl:ENSG00000118058|HPRD:01162|Vega:OTTHUMG00000166337	11q23	lysine methyltransferase 2A	NA	NA	NA	NA	NA
4193	MDM2	ONG	protein-coding	ACTFS|HDMX|hdm2	MIM:164785|HGNC:HGNC:6973|Ensembl:ENSG00000135679|HPRD:01272	12q14.3-q15	MDM2 proto-oncogene, E3 ubiquitin protein ligase	NA	NA	NA	NA	NA
4168	MCF2	ONG	protein-coding	ARHGEF21|DBL	MIM:311030|HGNC:HGNC:6940|Ensembl:ENSG00000101977|HPRD:02406|Vega:OTTHUMG00000022537	Xq27	MCF.2 cell line derived transforming sequence	NA	NA	NA	NA	NA
4142	MAS1	ONG	protein-coding	MAS|MGRA	MIM:165180|HGNC:HGNC:6899|HPRD:01306	6q25.3-q26	MAS1 proto-oncogene, G protein-coupled receptor	NA	NA	NA	NA	NA
414060	TBC1D3C	ONG	protein-coding	TBC1D3D	MIM:610806|HGNC:HGNC:24889|Ensembl:ENSG00000278299|HPRD:17559|Vega:OTTHUMG00000188484	17q12	TBC1 domain family member 3C	NA	NA	NA	NA	NA
4094	MAF	ONG	protein-coding	AYGRP|CCA4|CTRCT21|c-MAF	MIM:177075|HGNC:HGNC:6776|Ensembl:ENSG00000178573|HPRD:01518|Vega:OTTHUMG00000137621	16q22-q23	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog	NA	NA	NA	NA	NA
407018	MIR27A	both	ncRNA	MIR27|MIRN27A|mir-27a	MIM:612153|HGNC:HGNC:31613|Ensembl:ENSG00000207808|miRBase:MI0000085	19p13.13	microRNA 27a	MIR27|MIRN27A	MIM:612153|HGNC:HGNC:31613|Ensembl:ENSG00000207808|miRBase:MI0000085	19	19p13.13	microRNA 27a
407007	MIR222	both	ncRNA	MIRN222|miRNA222|mir-222	MIM:300569|HGNC:HGNC:31602|Ensembl:ENSG00000207725|miRBase:MI0000299	Xp11.3	microRNA 222	MIRN222|miRNA222|mir-222	MIM:300569|HGNC:HGNC:31602|Ensembl:ENSG00000207725|miRBase:MI0000299	X	Xp11.3	microRNA 222
407006	MIR221	ONG	ncRNA	MIRN221|miRNA221|mir-221	MIM:300568|HGNC:HGNC:31601|Ensembl:ENSG00000207870|miRBase:MI0000298	Xp11.3	microRNA 221	NA	NA	NA	NA	NA
406991	MIR21	ONG	ncRNA	MIRN21|hsa-mir-21|miR-21|miRNA21	MIM:611020|HGNC:HGNC:31586|Ensembl:ENSG00000199004|miRBase:MI0000077	17q23.1	microRNA 21	NA	NA	NA	NA	NA
406947	MIR155	both	ncRNA	MIRN155|miRNA155|mir-155	MIM:609337|HGNC:HGNC:31542|Ensembl:ENSG00000275402|miRBase:MI0000681	21q21.3	microRNA 155	MIRN155|miRNA155	MIM:609337|HGNC:HGNC:31542|Ensembl:ENSG00000275402|miRBase:MI0000681	21	21q21.3	microRNA 155
406942	MIR150	both	ncRNA	MIRN150|miRNA150|mir-150	MIM:611114|HGNC:HGNC:31537|miRBase:MI0000479	19q13.33	microRNA 150	MIRN150|miRNA150	MIM:611114|HGNC:HGNC:31537|miRBase:MI0000479	19	19q13.33	microRNA 150
406901	MIR107	both	ncRNA	MIRN107|miR-107	MIM:613189|HGNC:HGNC:31496|Ensembl:ENSG00000198997|miRBase:MI0000114	10q23.31	microRNA 107	MIRN107|miR-107	MIM:613189|HGNC:HGNC:31496|miRBase:MI0000114	10	10q23.31	microRNA 107
4005	LMO2	ONG	protein-coding	RBTN2|RBTNL1|RHOM2|TTG2	MIM:180385|HGNC:HGNC:6642|Ensembl:ENSG00000135363|HPRD:01586|Vega:OTTHUMG00000157176	11p13	LIM domain only 2	NA	NA	NA	NA	NA
3725	JUN	ONG	protein-coding	AP-1|AP1|c-Jun	MIM:165160|HGNC:HGNC:6204|Ensembl:ENSG00000177606|HPRD:01302|Vega:OTTHUMG00000008376	1p32-p31	jun proto-oncogene	NA	NA	NA	NA	NA
3205	HOXA9	ONG	protein-coding	ABD-B|HOX1|HOX1.7|HOX1G	MIM:142956|HGNC:HGNC:5109|Ensembl:ENSG00000078399|HPRD:00844|Vega:OTTHUMG00000023220	7p15.2	homeobox A9	NA	NA	NA	NA	NA
2778	GNAS	ONG	protein-coding	AHO|C20orf45|GNAS1|GPSA|GSA|GSP|NESP|POH|SCG6|SgVI	MIM:139320|HGNC:HGNC:4392|Ensembl:ENSG00000087460|HPRD:00761|Vega:OTTHUMG00000033069	20q13.3	GNAS complex locus	NA	NA	NA	NA	NA
2735	GLI1	both	protein-coding	GLI	MIM:165220|HGNC:HGNC:4317|Ensembl:ENSG00000111087|HPRD:01311|Vega:OTTHUMG00000167332	12q13.3	GLI family zinc finger 1	GLI	MIM:165220|HGNC:HGNC:4317|Ensembl:ENSG00000111087|HPRD:01311|Vega:OTTHUMG00000167332	12	12q13.2-q13.3	GLI family zinc finger 1
26040	SETBP1	ONG	protein-coding	MRD29|SEB	MIM:611060|HGNC:HGNC:15573|Ensembl:ENSG00000152217|HPRD:10224|Vega:OTTHUMG00000132613	18q21.1	SET binding protein 1	NA	NA	NA	NA	NA
25937	WWTR1	ONG	protein-coding	TAZ	MIM:607392|HGNC:HGNC:24042|Ensembl:ENSG00000018408|HPRD:09580|Vega:OTTHUMG00000159614	3q23-q24	WW domain containing transcription regulator 1	NA	NA	NA	NA	NA
25875	LETMD1	ONG	protein-coding	1110019O13Rik|HCCR-1|HCCR-2|HCCR1|HCRR-2	HGNC:HGNC:24241|Ensembl:ENSG00000050426|HPRD:09978|Vega:OTTHUMG00000169538	12q13.12	LETM1 domain containing 1	NA	NA	NA	NA	NA
2521	FUS	both	protein-coding	ALS6|ETM4|FUS1|HNRNPP2|POMP75|TLS	MIM:137070|HGNC:HGNC:4010|Ensembl:ENSG00000089280|HPRD:00660|Vega:OTTHUMG00000132395	16p11.2	FUS RNA binding protein	ALS6|ETM4|FUS1|HNRNPP2|POMP75|TLS	MIM:137070|HGNC:HGNC:4010|Ensembl:ENSG00000089280|HPRD:00660|Vega:OTTHUMG00000132395	16	16p11.2	FUS RNA binding protein
23598	PATZ1	ONG	protein-coding	MAZR|PATZ|RIAZ|ZBTB19|ZNF278|ZSG|dJ400N23	MIM:605165|HGNC:HGNC:13071|Ensembl:ENSG00000100105|HPRD:05522|Vega:OTTHUMG00000151254	22q12.2	POZ/BTB and AT hook containing zinc finger 1	NA	NA	NA	NA	NA
2353	FOS	ONG	protein-coding	AP-1|C-FOS|p55	MIM:164810|HGNC:HGNC:3796|Ensembl:ENSG00000170345|HPRD:01275|Vega:OTTHUMG00000171774	14q24.3	FBJ murine osteosarcoma viral oncogene homolog	NA	NA	NA	NA	NA
23512	SUZ12	both	protein-coding	CHET9|JJAZ1	MIM:606245|HGNC:HGNC:17101|Ensembl:ENSG00000178691|HPRD:06949|Vega:OTTHUMG00000132813	17q11.2	SUZ12 polycomb repressive complex 2 subunit	CHET9|JJAZ1	MIM:606245|HGNC:HGNC:17101|Ensembl:ENSG00000178691|HPRD:06949|Vega:OTTHUMG00000132813	17	17q11.2	SUZ12 polycomb repressive complex 2 subunit
2322	FLT3	both	protein-coding	CD135|FLK-2|FLK2|STK1	MIM:136351|HGNC:HGNC:3765|Ensembl:ENSG00000122025|HPRD:00635|Vega:OTTHUMG00000016646	13q12	fms related tyrosine kinase 3	CD135|FLK-2|FLK2|STK1	MIM:136351|HGNC:HGNC:3765|Ensembl:ENSG00000122025|HPRD:00635|Vega:OTTHUMG00000016646	13	13q12	fms-related tyrosine kinase 3
